0.000	8.300	38.0	0.9863	8383.7	8.416	16.832	2.921
11.500	8.022	38.0	0.9531	8101.2	7.593	15.187	2.823
11.501	8.022	36.0	0.9031	7676.7	7.199	14.398	2.823
23.000	7.743	36.0	0.8716	7409.0	6.472	12.944	2.725
23.001	7.743	34.0	0.8234	6999.2	6.117	12.234	2.726
34.500	7.465	34.0	0.7937	6746.4	5.478	10.956	2.627
34.501	7.465	32.0	0.7472	6351.2	5.160	10.320	2.628
46.000	7.186	32.0	0.7192	6113.3	4.601	9.203	2.529
46.001	7.186	30.0	0.6744	5732.8	4.317	8.635	2.530
57.500	6.908	30.0	0.6482	5509.7	3.833	7.665	2.432
57.501	6.908	28.0	0.6052	5143.9	3.580	7.161	2.432
69.000	6.629	28.0	0.5807	4935.7	3.163	6.326	2.334
69.001	6.629	26.0	0.5394	4584.5	2.940	5.879	2.335
80.500	6.351	26.0	0.5166	4391.2	2.583	5.166	2.236
80.501	6.351	24.0	0.4770	4054.7	2.387	4.773	2.237
92.000	6.072	24.0	0.4560	3876.2	2.085	4.170	2.138
92.001	6.072	22.0	0.4182	3554.3	1.913	3.827	2.139
103.500	5.794	22.0	0.3989	3390.8	1.661	3.322	2.041
103.501	5.794	20.0	0.3628	3083.6	1.512	3.023	2.041
115.630	5.500	20.0	0.3443	2926.7	1.293	2.585	1.937
